source	target	interaction	directed
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCqmugCqELzhIMNYnsjScXXw	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCwmFOfFuvRPI112vR5DNnrA	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UClq42foiSgl7sSpLupnugGA	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCoxcjq-8xIDTYp3uz647V5A	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UC6107grRI4m0o2-emgoDnAA	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCUHW94eEFW7hkUMVaZz4eDg	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UC2C_jShtL725hvbm1arSV9w	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCvBqzzvUBLCs8Y7Axb-jZew	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCHnyfMqiRRG1u-2MsSQLbXA	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCOGeU-1Fig3rrDjhm9Zs_wg	pp	true
UC6nSFpj9HTCZ5t-N3Rm3-HA	UCeQEKFH31vvD-InkTGSvCrA	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCqmugCqELzhIMNYnsjScXXw	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UClq42foiSgl7sSpLupnugGA	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCk6cjmZB_r3AVPMyAeJYBng	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCtinbF-Q-fVthA0qrFQTgXQ	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCC552Sd-3nyi_tk2BudLUzA	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true
UCwmFOfFuvRPI112vR5DNnrA	UCjwmbv6NE4mOh8Z8VhPUx1Q	pp	true
UCqmugCqELzhIMNYnsjScXXw	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true
UCqmugCqELzhIMNYnsjScXXw	UCwmFOfFuvRPI112vR5DNnrA	pp	true
UCqmugCqELzhIMNYnsjScXXw	UClq42foiSgl7sSpLupnugGA	pp	true
UCqmugCqELzhIMNYnsjScXXw	UC4Abl9Z_dKFxA7fRFnGPLiA	pp	true
UCqmugCqELzhIMNYnsjScXXw	UC1UIj7Y9SphX5GuoG2e94XQ	pp	true
UCqmugCqELzhIMNYnsjScXXw	UCk6cjmZB_r3AVPMyAeJYBng	pp	true
UCqmugCqELzhIMNYnsjScXXw	UCohfGoL208cZbSSlXgMNUiA	pp	true
UCqmugCqELzhIMNYnsjScXXw	UCyi06SeKkiwoAzFVmQtDtfg	pp	true
UCBMxQPhfM6nkhQ8vPfQhkCg	UCJfrQ757VURxgJTO2Z2MLrQ	pp	true
UCBMxQPhfM6nkhQ8vPfQhkCg	UCS4mCuv_CP6xgMgGjLKLvoA	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true
